Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:55,2020-12-09 17:49:55,0.656s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:55,2020-12-09 17:49:56,0.652s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:56,2020-12-09 17:49:57,0.712s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:49:57,2020-12-09 17:49:59,2.002s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:49:59,2020-12-09 17:49:59,0.344s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:49:59,2020-12-09 17:50:00,0.738s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:50:00,2020-12-09 17:50:36,35.713s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:00,2020-12-09 17:50:25,25.123s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:25,2020-12-09 17:50:25,0.490s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:25,2020-12-09 17:50:26,0.501s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:26,2020-12-09 17:50:27,0.656s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:27,2020-12-09 17:50:27,0.707s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:27,2020-12-09 17:50:28,0.858s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:28,2020-12-09 17:50:29,0.442s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:29,2020-12-09 17:50:29,0.799s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:29,2020-12-09 17:50:30,0.577s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:30,2020-12-09 17:50:31,0.588s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:31,2020-12-09 17:50:31,0.665s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:31,2020-12-09 17:50:32,0.601s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:32,2020-12-09 17:50:32,0.628s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:50:32,2020-12-09 17:50:34,2.001s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:34,2020-12-09 17:50:35,0.343s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:50:35,2020-12-09 17:50:36,0.726s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:50:36,2020-12-09 17:51:11,35.770s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:50:36,2020-12-09 17:51:01,24.921s,PASSED
"click(findTestObject(""Catalogos/button_Catlogos""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:01,2020-12-09 17:51:01,0.427s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:01,2020-12-09 17:51:01,0.544s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Transpor_2""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:01,2020-12-09 17:51:02,0.665s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Btn_capturaT""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:02,2020-12-09 17:51:03,0.712s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/razon_social""), razon_s, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:03,2020-12-09 17:51:04,0.981s,PASSED
"setText(findTestObject(""Catalogos/Transportistas/Transportistas/contrato""), contrato, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:04,2020-12-09 17:51:04,0.481s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/fecha""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:04,2020-12-09 17:51:05,0.710s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/year""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:05,2020-12-09 17:51:06,0.604s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/Year2025""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:06,2020-12-09 17:51:06,0.688s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/month""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:06,2020-12-09 17:51:07,0.653s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/december""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:07,2020-12-09 17:51:08,0.596s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Date/31December""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:08,2020-12-09 17:51:08,0.697s,PASSED
delay(2),Chrome 87.0.4280.88,,,2020-12-09 17:51:08,2020-12-09 17:51:10,2.002s,PASSED
"click(findTestObject(""Catalogos/Transportistas/Transportistas/Aceptar""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:10,2020-12-09 17:51:11,0.343s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.88,,,2020-12-09 17:51:11,2020-12-09 17:51:11,0.723s,PASSED
,,,,,,,
Test Cases/Catalogos/Transportistas/Transportistas/Captura/Create_transpor,Chrome 87.0.4280.88,,,2020-12-09 17:51:11,2020-12-09 17:51:47,36.080s,PASSED
"callTestCase(findTestCase(""Login/Log-in""), [""unidad"":""San Dimas""], CONTINUE_ON_FAILURE)",Chrome 87.0.4280.88,,,2020-12-09 17:51:11,2020-12-09 17:51:36,24.972s,PASSED
